sa3_name, dwelling, area_sqkm, state_name, sa3_code_2016, population
"Springwood - Kingston",29159,57.2427,"Queensland","31106",77205
"Bowen Basin - North",17470,79852.7820000001,"Queensland","31201",33532
"Mackay",50587,7613.29639999999,"Queensland","31202",114904
"Whitsunday",9684,2674.0276,"Queensland","31203",21232
"Bribie - Beachmere",16713,255.4466,"Queensland","31301",32971
"Caboolture",25433,314.7209,"Queensland","31302",67487
"Caboolture Hinterland",5200,3388.2856,"Queensland","31303",13246
"Narangba - Burpengary",22723,172.4136,"Queensland","31304",62914
"Redcliffe",27593,213.5898,"Queensland","31305",59578
"The Hills District",30295,668.680899999999,"Queensland","31401",86151
"North Lakes",27037,66.3175,"Queensland","31402",71547
"Strathpine",14516,38.3965,"Queensland","31403",37229
"Far North",13258,250877.5904,"Queensland","31501",32425
"Outback - North",14480,307082.1758,"Queensland","31502",29732
"Toowoomba",62804,2258.7955,"Queensland","31701",149588
"Maryborough",21288,6752.9516,"Queensland","31905",44894
"West Torrens",28460,38.3988,"South Australia","40403",60969
"Adelaide City",11603,15.5733,"South Australia","40101",22096
"Adelaide Hills",28829,1388.1168,"South Australia","40102",71896
"Norwood - Payneham - St Peters",17418,15.1036,"South Australia","40105",35363
"Unley",17052,14.2703,"South Australia","40107",37695
"Gawler - Two Wells",14418,306.865,"South Australia","40201",34625
"Playford",36604,356.8029,"South Australia","40202",90123
"Port Adelaide - East",29002,34.8399,"South Australia","40203",68067
"Salisbury",54396,150.1709,"South Australia","40204",136766
"Tea Tree Gully",38435,91.3140000000002,"South Australia","40205",93534
"Mitcham",26204,74.3702000000001,"South Australia","40303",63599
"Onkaparinga",72183,519.371600000001,"South Australia","40304",168106
"Charles Sturt",49509,53.3186,"South Australia","40401",108619
"Port Adelaide - West",26465,67.7726,"South Australia","40402",57942
"Barossa",15363,2837.1519,"South Australia","40501",35460
"Lower North",11667,13728.959,"South Australia","40502",22589
"Mid North",14003,14409.4798,"South Australia","40503",27293
"Yorke Peninsula",18436,6740.7625,"South Australia","40504",25170
"Eyre Peninsula and South West",30400,235305.4796,"South Australia","40601",56565
"Outback - North and East",14268,642510.5005,"South Australia","40602",26245
"Burnside",19283,27.5183,"South Australia","40103",43919
"Campbelltown (SA)",21734,25.368,"South Australia","40104",50476
"Fleurieu - Kangaroo Island",31624,7363.57960000001,"South Australia","40701",50381
"Prospect - Walkerville",12442,11.3215,"South Australia","40106",28105
"Limestone Coast",31918,21337.0782,"South Australia","40702",64742
"Murray and Mallee",36356,36782.081,"South Australia","40703",69596
"Augusta - Margaret River - Busselton",26510,3664.3228,"Western Australia","50101",50778
"Bunbury",44787,5449.51349999999,"Western Australia","50102",102685
"Manjimup",11943,15688.5752,"Western Australia","50103",22788
"Mandurah",48052,1032.8628,"Western Australia","50201",96719
"Cottesloe - Claremont",28444,48.7155,"Western Australia","50301",67528
"Perth City",52909,43.5243,"Western Australia","50302",101667
"Bayswater - Bassendean",36904,44.6692,"Western Australia","50401",80460
"Mundaring",16450,685.4312,"Western Australia","50402",42042
"Swan",49065,1032.3312,"Western Australia","50403",128507
"Joondalup",60520,100.4725,"Western Australia","50501",154733
"Stirling",87782,99.3260000000001,"Western Australia","50502",192250
"Wanneroo",70299,684.200700000001,"Western Australia","50503",187881
"Armadale",31917,559.5261,"Western Australia","50601",79671
"Belmont - Victoria Park",33697,60.1098999999999,"Western Australia","50602",70796
"Canning",37210,68.1880999999999,"Western Australia","50603",93512
"Gosnells",44377,127.2975,"Western Australia","50604",118113
"Kalamunda",22712,283.8,"Western Australia","50605",57490
"Serpentine - Jarrahdale",9670,904.7637,"Western Australia","50606",26840
"South Perth",20189,20.307,"Western Australia","50607",42036
"Cockburn",41714,148.2099,"Western Australia","50701",101917
"Fremantle",18220,41.3304,"Western Australia","50702",36649
"Kwinana",15245,120.0121,"Western Australia","50703",38855
"Melville",42146,53.4538,"Western Australia","50704",100634
"Rockingham",50888,257.6898,"Western Australia","50705",125117
"Albany",28456,37887.9924999999,"Western Australia","50901",59185
"Wheat Belt - North",30152,110694.5781,"Western Australia","50902",55909
"Wheat Belt - South",10153,48762.806,"Western Australia","50903",20162
"Kimberley",18164,419259.7904,"Western Australia","51001",34340
"East Pilbara",10961,390723.7799,"Western Australia","51002",25088
"West Pilbara",13311,116066.0891,"Western Australia","51003",34536
"Esperance",7815,55660.6598,"Western Australia","51101",15948
"Gascoyne",7353,135064.0785,"Western Australia","51102",9489
"Goldfields",17321,714513.0765,"Western Australia","51103",39061
"Mid West",26834,466794.7549,"Western Australia","51104",54062
"Brighton",6758,176.0777,"Tasmania","60101",17039
"Hobart - North East",22919,265.9415,"Tasmania","60102",52539
"Hobart - North West",24110,168.2819,"Tasmania","60103",53117
"Hobart - South and West",13699,328.5063,"Tasmania","60104",32890
"Hobart Inner",23808,62.2246,"Tasmania","60105",50530
